trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1639,False,"{'a': 0.19417411935554202, 'e': 0.19417411935554202}",20,14,9.391402605724718,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1640,False,"{'a': 0.19398004229089189, 'e': 0.19398004229089189}",20,7,5.668323422676399,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
1641,False,"{'a': 0.1937861592063002, 'e': 0.1937861592063002}",25,8,27.918219888306563,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
1642,False,"{'a': 0.1935924699078839, 'e': 0.1935924699078839}",25,11,3.477642706252627,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
1643,False,"{'a': 0.19339897420195362, 'e': 0.19339897420195362}",20,12,3.7590645258169517,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1644,False,"{'a': 0.19320567189501364, 'e': 0.19320567189501364}",25,15,19.632113727483347,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1645,False,"{'a': 0.19301256279376172, 'e': 0.19301256279376172}",20,10,15.803920959515255,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1646,False,"{'a': 0.1928196467050886, 'e': 0.1928196467050886}",20,14,12.184584322045678,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1647,False,"{'a': 0.19262692343607832, 'e': 0.19262692343607832}",20,14,11.791317302831922,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1648,False,"{'a': 0.19243439279400748, 'e': 0.19243439279400748}",30,14,30.751712477721142,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1649,False,"{'a': 0.1922420545863455, 'e': 0.1922420545863455}",20,12,-26.10276625238044,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
1650,False,"{'a': 0.19204990862075408, 'e': 0.19204990862075408}",20,8,9.668397449534929,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1651,False,"{'a': 0.19185795470508735, 'e': 0.19185795470508735}",25,14,9.468810247521635,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1652,False,"{'a': 0.19166619264739126, 'e': 0.19166619264739126}",30,17,24.89092307560527,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1653,False,"{'a': 0.19147462225590384, 'e': 0.19147462225590384}",30,18,9.848289055491012,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1654,False,"{'a': 0.19128324333905458, 'e': 0.19128324333905458}",30,19,-76.58649638827521,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
1655,False,"{'a': 0.19109205570546464, 'e': 0.19109205570546464}",25,9,11.587696127040122,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
1656,False,"{'a': 0.19090105916394629, 'e': 0.19090105916394629}",20,16,9.369266363094003,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1657,False,"{'a': 0.19071025352350304, 'e': 0.19071025352350304}",35,24,6.2966062743506335,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1658,False,"{'a': 0.19051963859332918, 'e': 0.19051963859332918}",20,6,2.9910454733208995,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
1659,False,"{'a': 0.19032921418280985, 'e': 0.19032921418280985}",20,4,12.49383634752415,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
1660,False,"{'a': 0.1901389801015205, 'e': 0.1901389801015205}",25,15,6.875867096539867,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1661,False,"{'a': 0.18994893615922714, 'e': 0.18994893615922714}",20,10,6.065012931318022,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1662,False,"{'a': 0.18975908216588572, 'e': 0.18975908216588572}",30,21,-22.983777451392044,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
1663,False,"{'a': 0.18956941793164234, 'e': 0.18956941793164234}",20,12,7.276904447163098,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1664,False,"{'a': 0.18937994326683263, 'e': 0.18937994326683263}",20,13,14.67465706051714,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1665,False,"{'a': 0.18919065798198204, 'e': 0.18919065798198204}",25,8,19.51511597668914,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1666,False,"{'a': 0.18900156188780515, 'e': 0.18900156188780515}",20,6,10.094144439015603,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1667,False,"{'a': 0.1888126547952059, 'e': 0.1888126547952059}",30,18,-18.758439807721185,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
1668,False,"{'a': 0.1886239365152772, 'e': 0.1886239365152772}",25,18,13.468891347091155,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1669,False,"{'a': 0.18843540685930069, 'e': 0.18843540685930069}",20,8,-16.614611474876835,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
1670,False,"{'a': 0.1882470656387468, 'e': 0.1882470656387468}",25,6,-14.920481131174935,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
1671,False,"{'a': 0.18805891266527416, 'e': 0.18805891266527416}",30,24,13.489532282419434,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1672,False,"{'a': 0.18787094775072993, 'e': 0.18787094775072993}",20,3,16.938398653585583,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1673,False,"{'a': 0.18768317070714904, 'e': 0.18768317070714904}",25,0,26.066198149522286,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
1674,False,"{'a': 0.18749558134675456, 'e': 0.18749558134675456}",25,13,-24.07091613865112,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
1675,False,"{'a': 0.18730817948195702, 'e': 0.18730817948195702}",20,6,6.50160934255225,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
1676,False,"{'a': 0.1871209649253546, 'e': 0.1871209649253546}",20,16,8.271540057770139,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1677,False,"{'a': 0.18693393748973264, 'e': 0.18693393748973264}",25,12,-29.33013998849394,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
1678,False,"{'a': 0.1867470969880638, 'e': 0.1867470969880638}",20,11,6.57152891903858,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1679,False,"{'a': 0.18656044323350748, 'e': 0.18656044323350748}",25,15,19.708105123288135,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1680,False,"{'a': 0.18637397603940997, 'e': 0.18637397603940997}",25,13,25.087182306439146,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1681,False,"{'a': 0.186187695219304, 'e': 0.186187695219304}",20,12,15.806000325011304,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1682,False,"{'a': 0.1860016005869088, 'e': 0.1860016005869088}",20,10,13.814353634363126,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1683,False,"{'a': 0.18581569195612965, 'e': 0.18581569195612965}",20,11,16.939703552349485,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1684,False,"{'a': 0.18562996914105798, 'e': 0.18562996914105798}",25,7,16.596657706483352,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1685,False,"{'a': 0.18544443195597088, 'e': 0.18544443195597088}",20,10,16.87451971168767,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1686,False,"{'a': 0.18525908021533122, 'e': 0.18525908021533122}",20,7,24.18161035714892,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1687,False,"{'a': 0.18507391373378718, 'e': 0.18507391373378718}",25,10,25.928953624443963,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1688,False,"{'a': 0.18488893232617234, 'e': 0.18488893232617234}",25,19,-2.0343472699115623,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
1689,False,"{'a': 0.1847041358075052, 'e': 0.1847041358075052}",20,11,-8.22347514545994,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
1690,False,"{'a': 0.18451952399298926, 'e': 0.18451952399298926}",25,17,13.525371468264643,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1691,False,"{'a': 0.1843350966980127, 'e': 0.1843350966980127}",30,13,34.90257850041153,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1692,False,"{'a': 0.1841508537381482, 'e': 0.1841508537381482}",20,3,-30.139497238971614,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
1693,False,"{'a': 0.18396679492915277, 'e': 0.18396679492915277}",20,0,28.15761262742892,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1694,False,"{'a': 0.18378292008696764, 'e': 0.18378292008696764}",30,21,8.481843746893324,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
1695,False,"{'a': 0.18359922902771786, 'e': 0.18359922902771786}",30,6,10.830592055358657,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 0}",1
1696,False,"{'a': 0.18341572156771246, 'e': 0.18341572156771246}",25,13,22.281795407517947,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1697,False,"{'a': 0.18323239752344386, 'e': 0.18323239752344386}",35,23,13.023331674844188,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1698,False,"{'a': 0.18304925671158812, 'e': 0.18304925671158812}",25,5,-19.250425505812995,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
1699,False,"{'a': 0.18286629894900427, 'e': 0.18286629894900427}",20,10,14.580133052269698,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1700,False,"{'a': 0.18268352405273466, 'e': 0.18268352405273466}",20,14,13.119001276360828,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1701,False,"{'a': 0.1825009318400043, 'e': 0.1825009318400043}",20,9,-7.068141356979186,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
1702,False,"{'a': 0.182318522128221, 'e': 0.182318522128221}",20,13,13.147624082484027,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1703,False,"{'a': 0.182136294734975, 'e': 0.182136294734975}",20,14,11.31602212878279,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1704,False,"{'a': 0.18195424947803895, 'e': 0.18195424947803895}",20,10,15.857790649803048,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1705,False,"{'a': 0.1817723861753675, 'e': 0.1817723861753675}",20,11,18.023970459525962,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1706,False,"{'a': 0.1815907046450974, 'e': 0.1815907046450974}",20,8,8.87262334450139,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1707,False,"{'a': 0.18140920470554706, 'e': 0.18140920470554706}",20,2,15.807962575510128,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
1708,False,"{'a': 0.1812278861752166, 'e': 0.1812278861752166}",20,12,-26.34894951816242,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
1709,False,"{'a': 0.18104674887278735, 'e': 0.18104674887278735}",25,13,25.931634037097215,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1710,False,"{'a': 0.1808657926171221, 'e': 0.1808657926171221}",25,17,15.54533790248915,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1711,False,"{'a': 0.1806850172272645, 'e': 0.1806850172272645}",25,15,17.97416183070174,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1712,False,"{'a': 0.18050442252243923, 'e': 0.18050442252243923}",30,16,20.26302348528568,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
1713,False,"{'a': 0.18032400832205148, 'e': 0.18032400832205148}",20,6,-0.07931503681725083,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
1714,False,"{'a': 0.1801437744456871, 'e': 0.1801437744456871}",25,18,15.120213613636452,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1715,False,"{'a': 0.17996372071311217, 'e': 0.17996372071311217}",20,5,10.82781457001459,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1716,False,"{'a': 0.17978384694427296, 'e': 0.17978384694427296}",20,4,8.022592457818332,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
